date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,cogs,product sales tax,shipping credits,shipping credits tax,gift wrap credits,gift wrap credits tax,Regulatory fee,Tax on regulatory fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,Transaction status,Transaction Release Date
"Jan 23, 2026 1:51:05 p.m. PST",25544384651,Order,701-6697336-3936250,BUNDLE-WDRB-1,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",1,amazon.ca,Amazon,Woodstock,Ontario,N4S 2X,Combined TCS+MTC,34,6.51,4.42,0,0,0,0,0,0,0,0,-4.42,-5.1,-6.63,0,0,22.27,Released,"Jan 31, 2026 11:09:27 p.m. PST"
"Jan 24, 2026 5:30:27 p.m. PST",25544384651,Order,701-8985443-9001868,BUNDLE-WDRB-1,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",1,amazon.ca,Amazon,Saint-Ubalde,Quebec,G0A 4L,Combined TCS+MTC,34,6.51,5.09,0,0,0,0,0,0,0,0,-5.09,-5.1,-6.63,0,0,22.27,Released,"Feb 2, 2026 5:23:46 a.m. PST"
"Jan 26, 2026 8:27:00 a.m. PST",25544384651,Order,702-2674474-6009801,BUNDLE-WDRB-1,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",1,amazon.ca,Amazon,Saint-Laurent,Quebec,H4R 0B,Combined TCS+MTC,34,6.51,5.09,2.61,0,0,0,0,0,-2.61,0,-5.09,-5.1,-6.63,0,0,22.27,Released,"Feb 4, 2026 7:27:20 a.m. PST"
"Jan 2, 2026 8:47:11 p.m. PST",25325771691,Order,702-4594504-3731463,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Vancouver,British Columbia,V6G 2P,Combined TCS+MTC,45,16,2.25,0,0,0,0,0,0,0,0,-2.25,-6.75,-11.12,0,0,27.13,Released,"Jan 11, 2026 5:22:27 p.m. PST"
"Jan 3, 2026 10:11:32 p.m. PST",25325771691,Order,701-6287275-0433849,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,St. Albert,Alberta,T8N 4G,Combined TCS+MTC,45,16,2.25,0,0,0,0,0,0,0,0,-2.25,-6.75,-11.12,0,0,27.13,Released,"Jan 11, 2026 11:02:36 p.m. PST"
"Jan 6, 2026 9:26:20 p.m. PST",25431919491,Order,701-2774606-2945049,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Garnett Settlement,New Brunswick,E2S 1W,Combined TCS+MTC,45,16,6.75,0,0,0,0,0,0,0,0,-6.75,-6.75,-11.12,0,0,27.13,Released,"Jan 16, 2026 2:22:11 a.m. PST"
"Jan 9, 2026 12:51:19 a.m. PST",25431919491,Order,702-1471481-1668266,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Stouffville,Ontario,L4A 0V,Combined TCS+MTC,45,16,2.03,0,0,0,0,0,0,-4.5,0,-2.03,-6.08,-11.12,0,0,23.3,Released,"Jan 16, 2026 8:00:41 a.m. PST"
"Jan 9, 2026 12:28:16 p.m. PST",25431919491,Order,702-2945902-0225060,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Surrey,British Columbia,V3T 0B,Combined TCS+MTC,45,16,2.25,0,0,0,0,0,0,0,0,-2.25,-6.75,-11.12,0,0,27.13,Released,"Jan 18, 2026 5:06:32 a.m. PST"
"Jan 13, 2026 5:06:06 p.m. PST",25431919491,Refund,702-2945902-0225060,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Surrey,British Columbia,V3T 0B,Combined TCS+MTC,-45,,-2.25,0,0,0,0,0,0,0,0,2.25,5.4,0,0,0,-39.6,Released,"Jan 18, 2026 12:31:27 a.m. PST"
"Jan 17, 2026 1:44:07 a.m. PST",25431919491,Order,702-2419709-7280261,KIT-HIPPIE,LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies,1,amazon.ca,Amazon,Sainte-Marthe-Sur-Le-Lac,Quebec,J0N 1P,Combined TCS+MTC,45,16,2.25,8.5,0.43,0,0,0,0,0,0,-2.68,-6.75,-18.94,0,0,27.81,Released,"Jan 25, 2026 6:07:58 a.m. PST"
