id,amazon_order_id,merchant_order_id,purchase_date,last_updated_date,order_status,fulfillment_channel,sales_channel,order_channel,url,ship_service_level,product_name,sku,asin,item_status,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,gift_wrap_price,gift_wrap_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,is_business_order,purchase_order_number,price_designation,buyer_identification_number,buyer_identification_type,created_at
379,702-0741259-3588236,702-0741259-3588236,2026-02-04T02:45:01+00:00,2026-02-05T00:50:05+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.6,,,,,3.55,,Calgary,Alberta,"T3M 2B6",CA,"Subscribe and Save Promotion V2",,,,,,"2026-04-29 11:21:00"
380,701-8864104-1309036,701-8864104-1309036,2026-02-04T02:24:29+00:00,2026-02-04T18:47:34+00:00,Cancelled,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE 6 One Size Printed Snap Cloth Diaper with 12 4-Layer Premium Bamboo Inserts, for Babies Weighing 10-35 Pounds - Sushi",BUNDLE-6CLPS-1,B09Z6VSHTL,Cancelled,0,,,,,,,,,,Langley,"British Columbia","V3A 0J7",CA,,,,,,,"2026-04-29 11:21:00"
381,701-6719725-3146656,701-6719725-3146656,2026-02-04T00:39:20+00:00,2026-02-06T19:10:02+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,3.93,,,,,3.93,Laval,Quebec,"H7R 5X4",CA,,,,,,,"2026-04-29 11:21:00"
382,702-7077103-1085803,702-7077103-1085803,2026-02-03T23:21:50+00:00,2026-02-06T02:28:23+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE 2 One Size Snap Diapers with 4 Bamboo Inserts - Cloth Diapers for Babies - 100 Sheets (Diaper Liner Roll) + 1 Wet Dry Bag - for Babies",KIT-HIPPIE,B0B42MWCF4,Shipped,1,CAD,45,2.25,,,,,,,Pointe-Claire,Quebec,H9S4Z1,CA,,,,,,,"2026-04-29 11:21:00"
383,701-0805532-7204255,701-0805532-7204255,2026-02-03T22:20:02+00:00,2026-02-04T04:38:20+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,"Montreal Qc",Quebec,H4G2B2,CA,,,,,,,"2026-04-29 11:21:00"
384,701-5398616-1065842,701-5398616-1065842,2026-02-03T20:58:49+00:00,2026-02-04T09:44:16+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-1,B09V5TT21Q,Shipped,1,CAD,34,1.7,,,,,,,Calgary,Alberta,"T1Y 5V8",CA,,,,,,,"2026-04-29 11:21:00"
385,701-9070869-9030628,701-9070869-9030628,2026-02-03T20:07:12+00:00,2026-02-04T09:08:49+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Saint-Hyacinthe,QC,"J2S 8A1",CA,,,,,,,"2026-04-29 11:21:00"
386,701-3110377-0717006,701-3110377-0717006,2026-02-03T14:06:40+00:00,2026-02-05T20:36:34+00:00,Cancelled,Amazon,Amazon.ca,,www.amazon.ca,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Cancelled,0,,,,,,,,,,Edmonton,Alberta,"T5R 2L8",CA,,,,,,,"2026-04-29 11:21:00"
387,702-8394791-0547460,702-8394791-0547460,2026-02-03T12:10:45+00:00,2026-02-20T10:02:43+00:00,Shipped,Amazon,Amazon.ca,,www.amazon.ca,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.6,,,,,3.55,,Cambridge,Ontario,"N3H 2H5",CA,"FBA Subscribe & Save Discount",,,,,,"2026-04-29 11:21:00"
388,702-2225454-3387407,702-2225454-3387407,2026-02-03T02:45:49+00:00,2026-02-03T15:03:16+00:00,Cancelled,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Cancelled,0,,,,,,,,,,Calgary,Alberta,"T3M 2B6",CA,,,,,,,"2026-04-29 11:21:00"
389,702-2225454-3387407,702-2225454-3387407,2026-02-03T02:45:49+00:00,2026-02-03T15:03:16+00:00,Cancelled,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 4 One Size Printed Snap Cloth Diaper With 8 4-Layer Premium Bamboo Inserts + 1 Free Wet Bag, for Babies Weighing 10-35 Pounds - (Balan",BUNDLE-CLPS-1,B09DLCMH23,Cancelled,0,,,,,,,,,,Calgary,Alberta,"T3M 2B6",CA,,,,,,,"2026-04-29 11:21:00"
390,702-8141550-7507403,702-8141550-7507403,2026-02-03T02:26:05+00:00,2026-02-04T01:13:00+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,3.92,,,,,3.92,Hanmer,Ontario,"P3P 1X7",CA,,,,,,,"2026-04-29 11:21:00"
391,701-2959528-9038602,701-2959528-9038602,2026-02-03T02:10:38+00:00,2026-02-03T23:52:59+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,4.26,3.92,,,,,3.92,Burnaby,"British Columbia","V3N 4G8",CA,,,,,,,"2026-04-29 11:21:00"
392,701-5617151-6477863,701-5617151-6477863,2026-02-03T01:18:51+00:00,2026-02-05T21:36:12+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Baby Bibs with Sleeves - 2-Pack Long Sleeve Bibs for 6-12 Months - Adjustable Fit with Snaps - Lightweight & Water-Resistant PUL - Can",BUNDLE-TAB-PEC,B0CXDXWG6L,Shipped,1,CAD,30,1.5,2.94,,,,,2.94,Vernon,"British Columbia","V1H 1C1",CA,,,,,,,"2026-04-29 11:21:00"
393,701-5617151-6477863,701-5617151-6477863,2026-02-03T01:18:51+00:00,2026-02-05T21:36:12+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Baby Bibs with Sleeves - 2-Pack Long Sleeve Bibs for 6-12 Months - Adjustable Fit with Snaps - Lightweight & Water-Resistant PUL, Cana",BUNDLE-TAB-DUM,B0CXDYWV87,Shipped,1,CAD,30,1.5,2.93,,,,,2.93,Vernon,"British Columbia","V1H 1C1",CA,,,,,,,"2026-04-29 11:21:00"
394,702-1497781-8866655,702-1497781-8866655,2026-02-03T00:01:27+00:00,2026-02-03T17:34:05+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-1,B09V5TT21Q,Shipped,1,CAD,34,1.7,,,,,,,Calgary,Alberta,"T2M 1J9",CA,,,,,,,"2026-04-29 11:21:00"
395,702-9417708-3540254,702-9417708-3540254,2026-02-02T21:45:15+00:00,2026-02-05T06:49:47+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"8 One Size Printed Cloth Diaper System with 16 Premium Bamboo Inserts, Eco-Friendly, Simple Gusset, Adjustable Fit for Babies 10-35 lbs - Mystic",BUNDLE-8PD-3,B0DX2DXQ5V,Shipped,1,CAD,140,7,,,,,,,Oakville,Ontario,"L6H 0G9",CA,,,,,,,"2026-04-29 11:21:00"
396,702-6313446-7481013,702-6313446-7481013,2026-02-02T19:48:37+00:00,2026-02-03T05:41:52+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE 4 One Size Printed Snap Cloth Diaper with 8 4-Layer Premium Bamboo Inserts + 1 Free Wet Bag, for Babies Weighing 10-35 Pounds - Guaca",BUNDLE-CLPS-10,B09L68M1KY,Shipped,1,CAD,70,3.5,3.49,,,,,3.49,Brampton,Ontario,"L6W 1E4",CA,,,,,,,"2026-04-29 11:21:00"
397,702-8658505-3526645,702-8658505-3526645,2026-02-02T17:46:05+00:00,2026-02-13T02:22:13+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-1,B09V5TT21Q,Shipped,1,CAD,34,5.09,3.93,,,,,3.93,"Thetford Mines",Québec,"G6G 0L3",CA,,,,,,,"2026-04-29 11:21:00"
398,702-1547267-4963450,702-1547267-4963450,2026-02-02T17:37:58+00:00,2026-02-05T01:34:08+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Longueuil,Quebec,"J4H 2Y5",CA,,,,,,,"2026-04-29 11:21:00"
399,701-4000857-8187411,701-4000857-8187411,2026-02-02T17:31:51+00:00,2026-02-04T08:01:15+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE 4 One Size Printed Snap Cloth Diaper with 8 4-Layer Premium Bamboo Inserts + 1 Free Wet Bag, for Babies Weighing 10-35 Pounds - Conste",BUNDLE-CLPS-9,B09L67ZZFR,Shipped,1,CAD,70,3.5,,,,,,,Milton,Ontario,"L9E 1Z4",CA,,,,,,,"2026-04-29 11:21:00"
400,701-5702853-4068266,701-5702853-4068266,2026-02-02T16:53:16+00:00,2026-02-03T08:31:38+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Baby Bibs with Sleeves - 2-Pack Long Sleeve Bibs for 6-12 Months - Adjustable Fit with Snaps - Lightweight & Water-Resistant PUL - Can",BUNDLE-TAB-PEC,B0CXDXWG6L,Shipped,1,CAD,30,1.5,,,,,,,Vancouver,"British Columbia","V5N 3J2",CA,,,,,,,"2026-04-29 11:21:00"
401,701-8746569-7021820,701-8746569-7021820,2026-02-02T14:06:13+00:00,2026-02-03T08:47:12+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Microfiber Cloth Diapers Inserts, 3 Layers High Absorbing Microfiber, Reusable Liners for Cloth Diapers, CPSIA Certified - Pack of 12",BUNDLE-12MFI,B09V5S6K99,Shipped,1,CAD,50,2.5,,,,,,,"North Hatley",Quebec,"J0B 2C0",CA,,,,,,,"2026-04-29 11:21:00"
402,702-4351557-0561056,702-4351557-0561056,2026-02-02T14:00:48+00:00,2026-02-03T08:47:17+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Microfiber Cloth Diapers Inserts, 3 Layers High Absorbing Microfiber, Reusable Liners for Cloth Diapers, CPSIA Certified - Pack of 12",BUNDLE-12MFI,B09V5S6K99,Shipped,1,CAD,50,2.5,,,,,,,"North Hatley",Quebec,"J0B 2C0",CA,,,,,,,"2026-04-29 11:21:00"
403,701-9248162-5804221,701-9248162-5804221,2026-02-02T13:58:49+00:00,2026-02-03T01:58:49+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,St-Mathias-sur-Richelieu,Quebec,"J3L 6Z3",CA,,,,,,,"2026-04-29 11:21:00"
404,702-2353419-2364208,702-2353419-2364208,2026-02-02T04:53:03+00:00,2026-02-03T09:17:18+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,"Ste-Thérèse de la Gatineau",Québec,J0X2X0,CA,,,,,,,"2026-04-29 11:21:00"
405,702-2353419-2364208,702-2353419-2364208,2026-02-02T04:53:03+00:00,2026-02-03T09:17:18+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-1,B09V5TT21Q,Shipped,1,CAD,34,5.09,,,,,,,"Ste-Thérèse de la Gatineau",Québec,J0X2X0,CA,,,,,,,"2026-04-29 11:21:00"
406,702-8475111-8732251,702-8475111-8732251,2026-02-02T03:52:25+00:00,2026-02-02T14:24:11+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Baby Burp Cloths - Premium Absorbent Triple Layer - Superior Absorbency for Baby Reflux - Muslin Cotton and Microfiber Layers - 18.89""",LAN-RUSTI,B0CXF29HSR,Shipped,1,CAD,29.99,3.9,,,,,,,Woodbridge,Ontario,"L4L 9J2",CA,,,,,,,"2026-04-29 11:21:00"
407,701-0024168-0446647,701-0024168-0446647,2026-02-02T02:06:57+00:00,2026-02-02T07:21:09+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Hamilton,Ontario,"L8M 2A5",CA,,,,,,,"2026-04-29 11:21:00"
408,702-3355860-1353800,702-3355860-1353800,2026-02-02T01:56:02+00:00,2026-02-10T01:19:40+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE 4 One Size Printed Snap Cloth Diaper With 8 4-Layer Premium Bamboo Inserts + 1 Free Wet Bag, for Babies Weighing 10-35 Pounds - (Balan",BUNDLE-CLPS-1,B09DLCMH23,Shipped,1,CAD,70,3.5,2.51,,,,,2.51,Edmonton,Alberta,"T6J 3T5",CA,,,,,,,"2026-04-29 11:21:00"
409,701-2940381-2820265,701-2940381-2820265,2026-02-02T01:14:52+00:00,2026-02-02T22:27:26+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Baby Bibs with Sleeves - 2-Pack Long Sleeve Bibs for 6-12 Months - Adjustable Fit with Snaps - Lightweight & Water-Resistant PUL - Can",BUNDLE-TAB-PEC,B0CXDXWG6L,Shipped,1,CAD,30,4.49,,,,,,,Sainte-Anne-Des-Monts,Quebec,"G4V 2C9",CA,,,,,,,"2026-04-29 11:21:00"
410,701-0519457-6741864,701-0519457-6741864,2026-02-02T01:01:34+00:00,2026-02-02T11:45:22+00:00,Cancelled,Amazon,Amazon.ca,,,SecondDay,"La Petite Ourse Washable Nursing Pads for Breastfeeding - 4-Layer Bamboo and Polyester Reusable Breast Pads Nursing - Ultra-Soft, Thin & Highly Absorb",Nursing-04,B0B42T63SY,Cancelled,0,,,,,,,,,,Repentigny,Quebec,"J5Y 3G3",CA,,,,,,,"2026-04-29 11:21:00"
411,701-3159533-8055457,701-3159533-8055457,2026-02-02T00:44:43+00:00,2026-02-03T03:08:48+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Saint-Bruno-De-Montarville,Quebec,"J3V 1H5",CA,,,,,,,"2026-04-29 11:21:00"
412,701-7569817-3014619,701-7569817-3014619,2026-02-01T21:54:47+00:00,2026-02-02T09:31:24+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Magog,Quebec,"J1X 0L5",CA,,,,,,,"2026-04-29 11:21:00"
413,701-0025582-9138674,701-0025582-9138674,2026-02-01T19:44:17+00:00,2026-02-10T13:36:48+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Cloth Diaper Liners - Canadian Disposable Diaper Liner Rolls - 400 Sheets (4 Rolls x 100) - Biodegradable, Fragrance-Free, Unscented,",BUNDLE-ROUL-1,B09DLBVY1L,Shipped,1,CAD,35.5,1.78,,,,,,,Quebec,Quebec,"G1E 5Z2",CA,,,,,,,"2026-04-29 11:21:00"
