id,amazon_order_id,merchant_order_id,purchase_date,last_updated_date,order_status,fulfillment_channel,sales_channel,order_channel,url,ship_service_level,product_name,sku,asin,item_status,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,gift_wrap_price,gift_wrap_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,is_business_order,purchase_order_number,price_designation,buyer_identification_number,buyer_identification_type,created_at
176,702-3105171-8969056,702-3105171-8969056,2026-03-27T20:57:22+00:00,2026-03-29T18:10:26+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE One Size Reusable Swim Diapers - Adjustable, Washable & Leakproof - Baby Swimming Diapers for Boys & Girls (15-35 lb) - Ideal for Swim",BUNDLE-3P-L,B0CT2CL5R6,Shipped,1,CAD,39,1.95,,,,,,,Widewater,Alberta,T0G2M0,CA,,,,,,,"2026-04-29 11:21:40"
177,701-0643596-8585014,701-0643596-8585014,2026-03-27T20:35:48+00:00,2026-03-27T20:42:37+00:00,Cancelled,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Cancelled,0,,,,,,,,,,Contrecoeur,Quebec,"J0L 1C0",CA,,,,,,,"2026-04-29 11:21:40"
178,701-1246373-8612200,701-1246373-8612200,2026-03-27T19:42:21+00:00,2026-03-29T08:24:01+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,3.64,,,,,,,"Thunder Bay",Ontario,"P7E 1W7",CA,,,,,,,"2026-04-29 11:21:40"
179,701-1246373-8612200,701-1246373-8612200,2026-03-27T19:42:21+00:00,2026-03-29T08:24:01+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Reusable Swim Diapers - Adjustable, Washable & Leakproof Swimmers - Baby Swimming Diapers for Boys & Girls - Ideal for Swimming Lesson",BUNDLE-3P-5,B0FQJ1JKTQ,Shipped,1,CAD,39,1.95,,,,,,,"Thunder Bay",Ontario,"P7E 1W7",CA,,,,,,,"2026-04-29 11:21:40"
180,702-1262986-5849068,702-1262986-5849068,2026-03-27T19:37:49+00:00,2026-03-28T02:08:57+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,3.64,,,,,,,Vaughan,Ontario,"L4J 9J1",CA,,,,,,,"2026-04-29 11:21:40"
181,701-8468401-4447438,701-8468401-4447438,2026-03-27T19:15:30+00:00,2026-03-28T08:37:03+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Baby Bibs with Sleeves - 2-Pack Long Sleeve Bibs for 6-12 Months - Lightweight & Water-Resistant PUL (Dino)",BUNDLE-TAB-DINO,B0F74BKCR2,Shipped,1,CAD,26,1.3,,,,,,,"Stoney Creek",Ontario,"L8J 3X7",CA,,,,,,,"2026-04-29 11:21:40"
182,702-1895943-7506668,702-1895943-7506668,2026-03-27T19:09:07+00:00,2026-03-28T18:16:07+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"4 One Size Printed Snap Cloth Diaper With 8 4-Layer Premium Bamboo Inserts + 1 Free Wet Bag, for Babies Weighing 10-35 Pounds - (Adventure)",BUNDLE-CLPS-8,B09NMMQQQN,Shipped,1,CAD,61.75,3.09,,,,,,,"North Vancouver","British Columbia","V7J 1W7",CA,,,,,,,"2026-04-29 11:21:40"
183,701-4701648-4443423,701-4701648-4443423,2026-03-27T18:56:43+00:00,2026-03-28T14:54:32+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE Baby Bibs with Sleeves - 2-Pack Long Sleeve Bibs for 6-12 Months - Lightweight & Water-Resistant PUL (Dino)",BUNDLE-TAB-DINO,B0F74BKCR2,Shipped,1,CAD,26,3.89,,,,,,,Repentigny,Quebec,"J6A 7X8",CA,,,,,,,"2026-04-29 11:21:40"
184,702-8514430-6995434,702-8514430-6995434,2026-03-27T18:27:09+00:00,2026-03-30T02:23:57+00:00,Shipped,Amazon,Amazon.ca,,,SecondDay,"LA PETITE OURSE One Size Reusable Swim Diapers - Adjustable, Washable & Leakproof - Baby Swimming Diapers for Boys & Girls (15-35 lb) - Ideal for Swim",BUNDLE-3P-L,B0CT2CL5R6,Shipped,1,CAD,39,1.95,,,,,,,Mirabel,Quebec,"J7N 3G1",CA,,,,,,,"2026-04-29 11:21:40"
185,702-4702758-1125033,702-4702758-1125033,2026-03-27T18:17:33+00:00,2026-03-28T02:02:03+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-4,B0BPP2HC5H,Shipped,1,CAD,27.99,4.19,,,,,,,Terrebonne,Quebec,"J6W 2R6",CA,,,,,,,"2026-04-29 11:21:40"
186,702-4350180-1505009,702-4350180-1505009,2026-03-27T18:14:41+00:00,2026-03-31T02:30:40+00:00,Shipped,Amazon,Amazon.ca,,,Standard,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Waterproof, for Swimming Suit, Baby Cloth Diapers, Beach, Pool",BUNDLE-WDRB-6,B0BPNZFLQV,Shipped,1,CAD,27.99,4.19,2.94,,,,,2.94,Saint-Sauveur,Quebec,"J0R 1R7",CA,,,,,,,"2026-04-29 11:21:40"
187,701-1431602-4238621,701-1431602-4238621,2026-03-27T17:32:27+00:00,2026-03-28T03:02:31+00:00,Shipped,Amazon,Amazon.ca,,,Expedited,"LA PETITE OURSE Wet Dry Bags with Zipper Closure and Hanging Strip, Washable, Reusable, Baby Cloth Diapers- Pack of 3 (Rustique)",BUNDLE-WDRB-7,B0CHYBHZ4H,Shipped,1,CAD,27.99,4.19,,,,,,,Chateauguay,Quebec,"J6J 4Y1",CA,,,,,,,"2026-04-29 11:21:40"
